search_value,formatted_address,country,province,city,citycode,district,adcode,location,level,line_name_zh,name_zh,name,line_name
上海市莘庄(地铁站),上海市闵行区莘庄(地铁站),中国,上海市,上海市,021,闵行区,310112,"121.385373,31.111152",公交地铁站点,1号线,莘庄,Xinzhuang,Line 1
上海市外环路(地铁站),上海市闵行区外环路(地铁站),中国,上海市,上海市,021,闵行区,310112,"121.393020,31.120899",公交地铁站点,1号线,外环路,Waihuanlu,Line 1
上海市莲花路(地铁站),上海市闵行区莲花路(地铁站),中国,上海市,上海市,021,闵行区,310112,"121.402910,31.130900",公交地铁站点,1号线,莲花路,Lianhua Road,Line 1
上海市锦江乐园(地铁站),上海市徐汇区锦江乐园(地铁站),中国,上海市,上海市,021,徐汇区,310104,"121.414107,31.142217",公交地铁站点,1号线,锦江乐园,Jinjiang Park,Line 1
上海市上海南站(地铁站),上海市徐汇区上海南站(地铁站),中国,上海市,上海市,021,徐汇区,310104,"121.430041,31.154579",公交地铁站点,1号线,上海南站,Shanghai South Railway Station,Line 1
上海市漕宝路(地铁站),上海市徐汇区漕宝路(地铁站)龙华(地铁站),中国,上海市,上海市,021,徐汇区,310104,"121.452958,31.172672",公交地铁站点,1号线,漕宝路,Caobao Road,Line 1
上海市上海体育馆(地铁站),上海市徐汇区上海体育馆龙华(地铁站),中国,上海市,上海市,021,徐汇区,310104,"121.452958,31.172672",公交地铁站点,1号线,上海体育馆,Shanghai Indoor Stadium,Line 1
上海市徐家汇(地铁站),上海市徐汇区徐家汇龙华(地铁站),中国,上海市,上海市,021,徐汇区,310104,"121.452958,31.172672",公交地铁站点,1号线,徐家汇,Xujiahui,Line 1
上海市衡山路(地铁站),上海市徐汇区衡山路(地铁站),中国,上海市,上海市,021,徐汇区,310104,"121.446424,31.204528",公交地铁站点,1号线,衡山路,Hengshan Road,Line 1
上海市常熟路(地铁站),上海市徐汇区常熟路(地铁站),中国,上海市,上海市,021,徐汇区,310104,"121.449141,31.213524",公交地铁站点,1号线,常熟路,Changshu Road,Line 1
上海市陕西南路(地铁站),上海市徐汇区陕西南路(地铁站),中国,上海市,上海市,021,徐汇区,310104,"121.458744,31.215150",公交地铁站点,1号线,陕西南路,South Shaanxi Road,Line 1
上海市一大会址·黄陂南路(地铁站),上海市黄浦区一大会址·黄陂南路(地铁站),中国,上海市,上海市,021,黄浦区,310101,"121.472339,31.223653",公交地铁站点,1号线,一大会址·黄陂南路,Site of the First CPC National Congress · South Huangpi Road,Line 1
上海市人民广场(地铁站),上海市黄浦区人民广场(地铁站),中国,上海市,上海市,021,黄浦区,310101,"121.475108,31.232687",公交地铁站点,1号线,人民广场,People's Square,Line 1
上海市新闸路(地铁站),上海市黄浦区新闸路(地铁站),中国,上海市,上海市,021,黄浦区,310101,"121.468151,31.238373",公交地铁站点,1号线,新闸路,Xinzha Road,Line 1
上海市汉中路(地铁站),上海市静安区汉中路(地铁站),中国,上海市,上海市,021,静安区,310106,"121.458699,31.241883",公交地铁站点,1号线,汉中路,Hanzhong Road,Line 1
上海市上海火车站(地铁站),上海市静安区上海火车站(地铁站),中国,上海市,上海市,021,静安区,310106,"121.457939,31.249632",公交地铁站点,1号线,上海火车站,Shanghai Railway Station,Line 1
上海市中山北路(地铁站),上海市静安区中山北路(地铁站),中国,上海市,上海市,021,静安区,310106,"121.459204,31.258891",公交地铁站点,1号线,中山北路,North Zhongshan Road,Line 1
上海市延长路(地铁站),上海市静安区延长路(地铁站),中国,上海市,上海市,021,静安区,310106,"121.455329,31.271675",公交地铁站点,1号线,延长路,Yanchang Road,Line 1
上海市上海马戏城(地铁站),上海市静安区上海马戏城(地铁站),中国,上海市,上海市,021,静安区,310106,"121.452023,31.279895",公交地铁站点,1号线,上海马戏城,Shanghai Circus World,Line 1
上海市汶水路(地铁站),上海市静安区汶水路(地铁站),中国,上海市,上海市,021,静安区,310106,"121.450251,31.292556",公交地铁站点,1号线,汶水路,Wenshui Road,Line 1
上海市彭浦新村(地铁站),上海市静安区彭浦新村(地铁站),中国,上海市,上海市,021,静安区,310106,"121.448642,31.306604",公交地铁站点,1号线,彭浦新村,Pengpu Xincun,Line 1
上海市共康路(地铁站),上海市静安区共康路(地铁站),中国,上海市,上海市,021,静安区,310106,"121.447063,31.318936",公交地铁站点,1号线,共康路,Gongkang Road,Line 1
上海市通河新村(地铁站),上海市宝山区通河新村(地铁站),中国,上海市,上海市,021,宝山区,310113,"121.441546,31.331130",公交地铁站点,1号线,通河新村,Tonghe Xincun,Line 1
上海市呼兰路(地铁站),上海市宝山区呼兰路(地铁站),中国,上海市,上海市,021,宝山区,310113,"121.437711,31.339703",公交地铁站点,1号线,呼兰路,Hulan Road,Line 1
上海市共富新村(地铁站),上海市宝山区共富新村(地铁站),中国,上海市,上海市,021,宝山区,310113,"121.434063,31.355082",公交地铁站点,1号线,共富新村,Gongfu Xincun,Line 1
上海市宝安公路(地铁站),上海市宝山区宝安公路(地铁站),中国,上海市,上海市,021,宝山区,310113,"121.430914,31.369555",公交地铁站点,1号线,宝安公路,Bao'an Highway,Line 1
上海市友谊西路(地铁站),上海市宝山区友谊西路(地铁站),中国,上海市,上海市,021,宝山区,310113,"121.427953,31.381296",公交地铁站点,1号线,友谊西路,West Youyi Road,Line 1
