Line Name,Type,Sequence,Station Code,Station Name,Transfer,Build Start,Opening Date,Closed Date,Lantitude,Longitude,Others
Bukit Panjang LRT Line,LRT,1,BP1/NS4,Choa Chu Kang,Standard,,Before 2020,,1.38520,103.74438,
Bukit Panjang LRT Line,LRT,2,BP2,South View,,,Before 2020,,1.38027,103.74529,
Bukit Panjang LRT Line,LRT,3,BP3,Keat Hong,,,Before 2020,,1.37860,103.74903,
Bukit Panjang LRT Line,LRT,4,BP4,Teck Whye,,,Before 2020,,1.37666,103.75364,
Bukit Panjang LRT Line,LRT,5,BP5,Phoenix,,,Before 2020,,1.37861,103.75801,
Bukit Panjang LRT Line,LRT,6,BP6-DT1,Bukit Panjang,Tap Out,,Before 2020,,1.37823,103.76256,
Bukit Panjang LRT Line Cycle,LRT,1,BP6-DT1,Bukit Panjang,Tap Out,,Before 2020,,1.37823,103.76256,
Bukit Panjang LRT Line Cycle,LRT,2,BP7,Petir,,,Before 2020,,1.37777,103.76663,
Bukit Panjang LRT Line Cycle,LRT,3,BP8,Pending,,,Before 2020,,1.37617,103.77126,
Bukit Panjang LRT Line Cycle,LRT,4,BP9,Bangkit,,,Before 2020,,1.38006,103.77264,
Bukit Panjang LRT Line Cycle,LRT,5,BP10,Fajar,,,Before 2020,,1.38454,103.77080,
Bukit Panjang LRT Line Cycle,LRT,6,BP11,Segar,,,Before 2020,,1.38779,103.76959,
Bukit Panjang LRT Line Cycle,LRT,7,BP12,Jelapang,,,Before 2020,,1.38667,103.76451,
Bukit Panjang LRT Line Cycle,LRT,8,BP13,Senja,,,Before 2020,,1.38268,103.76238,
Bukit Panjang LRT Line Cycle,LRT,9,BP6-DT1,Bukit Panjang,Tap Out,,Before 2020,,1.37823,103.76256,
Punggol LRT Line East,LRT,1,NE17/PTC,Punggol,Standard,,Before 2020,,1.40525,103.90237,
Punggol LRT Line East,LRT,2,PW1,Sam Kee,,,Before 2020,,1.40973,103.90490,
Punggol LRT Line East,LRT,3,PW2,Teck Lee,,,None,,,,
Punggol LRT Line East,LRT,4,PW3,Punggol Point,,,Before 2020,,1.41688,103.90664,
Punggol LRT Line East,LRT,5,PW4,Samudera,,,Before 2020,,1.41595,103.90216,
Punggol LRT Line East,LRT,6,PW5,Nibong,,,Before 2020,,1.41189,103.90036,
Punggol LRT Line East,LRT,7,PW6,Sumang,,,Before 2020,,1.40848,103.89859,
Punggol LRT Line East,LRT,8,PW7,Soo Teck,,,Before 2020,,1.40541,103.89727,
Punggol LRT Line East,LRT,9,NE17/PTC,Punggol,Standard,,Before 2020,,1.40525,103.90237,
Punggol LRT Line West,LRT,1,NE17/PTC,Punggol,Standard,,Before 2020,,1.40525,103.90237,
Punggol LRT Line West,LRT,2,PE1,Cove,,,Before 2020,,1.39947,103.90586,
Punggol LRT Line West,LRT,3,PE2,Meridian,,,Before 2020,,1.39699,103.90887,
Punggol LRT Line West,LRT,4,PE3,Coral Edge,,,Before 2020,,1.39389,103.91263,
Punggol LRT Line West,LRT,5,PE4,Riviera,,,Before 2020,,1.39455,103.91611,
Punggol LRT Line West,LRT,6,PE5,Kadaloor,,,Before 2020,,1.39961,103.91644,
Punggol LRT Line West,LRT,7,PE6,Oasis,,,Before 2020,,1.40232,103.91268,
Punggol LRT Line West,LRT,8,PE7,Damai,,,Before 2020,,1.40528,103.90856,
Punggol LRT Line West,LRT,9,NE17/PTC,Punggol,Standard,,Before 2020,,1.40525,103.90237,
Sengkang LRT Line East,LRT,1,NE16/STC,Sengkang,Standard,,Before 2020,,1.39165,103.89539,
Sengkang LRT Line East,LRT,2,SE1,Compassvale,,,Before 2020,,1.39447,103.90051,
Sengkang LRT Line East,LRT,3,SE2,Rumbia,,,Before 2020,,1.39147,103.90597,
Sengkang LRT Line East,LRT,4,SE3,Bakau,,,Before 2020,,1.38808,103.90545,
Sengkang LRT Line East,LRT,5,SE4,Kangkar,,,Before 2020,,1.38393,103.90220,
Sengkang LRT Line East,LRT,6,SE5,Ranggung,,,Before 2020,,1.38396,103.89742,
Sengkang LRT Line East,LRT,7,NE16/STC,Sengkang,Standard,,Before 2020,,1.39165,103.89539,
Sengkang LRT Line West,LRT,1,NE16/STC,Sengkang,Standard,,Before 2020,,1.39165,103.89539,
Sengkang LRT Line West,LRT,2,SW1,Cheng Lim,,,Before 2020,,1.39627,103.89381,
Sengkang LRT Line West,LRT,3,SW2,Farmway,,,Before 2020,,1.39719,103.88924,
Sengkang LRT Line West,LRT,4,SW3,Kupang,,,Before 2020,,1.39820,103.88122,
Sengkang LRT Line West,LRT,5,SW4,Thanggam,,,Before 2020,,1.39735,103.87563,
Sengkang LRT Line West,LRT,6,SW5,Fernvale,,,Before 2020,,1.39197,103.87624,
Sengkang LRT Line West,LRT,7,SW6,Layar,,,Before 2020,,1.39213,103.88014,
Sengkang LRT Line West,LRT,8,SW7,Tongkang,,,Before 2020,,1.38943,103.88578,
Sengkang LRT Line West,LRT,9,SW8,Renjong,,,Before 2020,,1.38674,103.89051,
Sengkang LRT Line West,LRT,10,NE16/STC,Sengkang,Standard,,Before 2020,,1.39165,103.89539,
Circle Line,MRT,1,CC1/NE6/NS24,Dhoby Ghaut,Standard,,Before 2020,,1.29923,103.84582,
Circle Line,MRT,2,CC2,Bras Basah,,,Before 2020,,1.29687,103.85058,
Circle Line,MRT,3,CC3,Esplanade,,,Before 2020,,1.29338,103.85576,
Circle Line,MRT,4,CC4/DT15,Promenade,Standard,,Before 2020,,1.29265,103.86106,
Circle Line,MRT,5,CC5,Nicoll Highway,,,Before 2020,,1.29968,103.86358,
Circle Line,MRT,6,CC6,Stadium,,,Before 2020,,1.30287,103.87542,
Circle Line,MRT,7,CC7,Mountbatten,,,Before 2020,,1.30623,103.88252,
Circle Line,MRT,8,CC8,Dakota,,,Before 2020,,1.30840,103.88866,
Circle Line,MRT,9,CC9/EW8,Paya Lebar,Standard,,Before 2020,,1.31779,103.89256,
Circle Line,MRT,10,CC10/DT26,MacPherson,Standard,,Before 2020,,1.32636,103.88988,
Circle Line,MRT,11,CC11,Tai Seng,,,Before 2020,,1.33544,103.88832,
Circle Line,MRT,12,CC12,Bartley,,,Before 2020,,1.34286,103.87973,
Circle Line,MRT,13,CC13/NE12,Serangoon,Standard,,Before 2020,,1.35015,103.87292,
Circle Line,MRT,14,CC14,Lorong Chuan,,,Before 2020,,1.35161,103.86414,
Circle Line,MRT,15,CC15/NS17,Bishan,Standard,,Before 2020,,1.35136,103.84837,
Circle Line,MRT,16,CC16,Marymount,,,Before 2020,,1.34904,103.83938,
Circle Line,MRT,17,CC17/TE9,Caldecott,Standard,,Before 2020,,1.33743,103.83994,
Circle Line,MRT,18,CC18,Bukit Brown,,,None,,,,
Circle Line,MRT,19,CC19/DT9,Botanic Gardens,Standard,,Before 2020,,1.32227,103.81550,
Circle Line,MRT,20,CC20,Farrer Road,,,Before 2020,,1.31741,103.80755,
Circle Line,MRT,21,CC21,Holland Village,,,Before 2020,,1.31240,103.79620,
Circle Line,MRT,22,CC22/EW21,Buona Vista,Standard,,Before 2020,,1.30687,103.79029,
Circle Line,MRT,23,CC23,one-north,,,Before 2020,,1.29937,103.78712,
Circle Line,MRT,24,CC24,Kent Ridge,,,Before 2020,,1.29372,103.78452,
Circle Line,MRT,25,CC25,Haw Par Villa,,,Before 2020,,1.28268,103.78175,
Circle Line,MRT,26,CC26,Pasir Panjang,,,Before 2020,,1.27619,103.79155,
Circle Line,MRT,27,CC27,Labrador Park,,,Before 2020,,1.27232,103.80278,
Circle Line,MRT,28,CC28,Telok Blangah,,,Before 2020,,1.27063,103.80981,
Circle Line,MRT,29,CC29/NE1,HarbourFront,Standard,,Before 2020,,1.26535,103.82249,
Circle Line Extension,MRT,1,CC4/DT15,Promenade,Standard,,Before 2020,,1.29265,103.86106,
Circle Line Extension,MRT,2,CE1/DT16,Bayfront,Standard,,Before 2020,,1.28181,103.85908,
Circle Line Extension,MRT,3,CE2/NS27/TE20,Marina Bay,Standard,,Before 2020,,1.27525,103.85519,
Downtown Line,MRT,1,BP6-DT1,Bukit Panjang,,,Before 2020,,1.37823,103.76256,
Downtown Line,MRT,2,DT2,Cashew,,,Before 2020,,1.36955,103.76461,
Downtown Line,MRT,3,DT3,Hillview,,,Before 2020,,1.36265,103.76712,
Downtown Line,MRT,4,DT4,Hume,,,None,,,,
Downtown Line,MRT,5,DT5,Beauty World,,,Before 2020,,1.34132,103.77600,
Downtown Line,MRT,6,DT6,King Albert Park,,,Before 2020,,1.33602,103.78357,
Downtown Line,MRT,7,DT7,Sixth Avenue,,,Before 2020,,1.33069,103.79721,
Downtown Line,MRT,8,DT8,Tan Kah Kee,,,Before 2020,,1.32603,103.80700,
Downtown Line,MRT,9,CC19/DT9,Botanic Gardens,Standard,,Before 2020,,1.32227,103.81550,
Downtown Line,MRT,10,DT10/TE11,Stevens,Standard,,Before 2020,,1.31977,103.82576,
Downtown Line,MRT,11,DT11-NS21,Newton,Tap Out,,Before 2020,,1.31317,103.83827,
Downtown Line,MRT,12,DT12/NE7,Little India,Standard,,Before 2020,,1.30704,103.84944,
Downtown Line,MRT,13,DT13,Rochor,,,Before 2020,,1.30399,103.85261,
Downtown Line,MRT,14,DT14/EW12,Bugis,Standard,,Before 2020,,1.30011,103.85633,
Downtown Line,MRT,15,CC4/DT15,Promenade,Standard,,Before 2020,,1.29265,103.86106,
Downtown Line,MRT,16,CE1/DT16,Bayfront,Standard,,Before 2020,,1.28181,103.85908,
Downtown Line,MRT,17,DT17,Downtown,,,Before 2020,,1.27945,103.85281,
Downtown Line,MRT,18,DT18,Telok Ayer,,,Before 2020,,1.28225,103.84849,
Downtown Line,MRT,19,DT19/NE4,Chinatown,Standard,,Before 2020,,1.28456,103.84365,
Downtown Line,MRT,20,DT20,Fort Canning,,,Before 2020,,1.29235,103.84437,
Downtown Line,MRT,21,DT21,Bencoolen,,,Before 2020,,1.29828,103.84981,
Downtown Line,MRT,22,DT22,Jalan Besar,,,Before 2020,,1.30552,103.85543,
Downtown Line,MRT,23,DT23,Bendemeer,,,Before 2020,,1.31326,103.86262,
Downtown Line,MRT,24,DT24,Geylang Bahru,,,Before 2020,,1.32153,103.87185,
Downtown Line,MRT,25,DT25,Mattar,,,Before 2020,,1.32694,103.88293,
Downtown Line,MRT,26,CC10/DT26,MacPherson,Standard,,Before 2020,,1.32636,103.88988,
