,stn_name,stn_code,line_number
6,Bayfront,CE1-DT16,2
14,Bishan,NS17-CC15,2
17,Botanic Gardens,DT9-CC19,2
22,Bugis,DT14-EW12,2
25,Bukit Panjang,DT1-BP6,3
26,Buona Vista,EW21-CC22,2
27,Caldecott,TE9-CC17,2
32,Chinatown,NE4-DT19,2
34,Choa Chu Kang,NS4-BP1,2
35,City Hall,NS25-EW13,2
44,Dhoby Ghaut,NS24-CC1-NE6,3
49,Expo,DT35-CG1,2
60,HarbourFront,CC29-NE1,2
69,Jurong East,EW24-NS1,2
88,Little India,DT12-NE7,2
90,MacPherson,DT26-CC10,2
91,Marina Bay,NS27-CE2-TE20,3
103,Newton,DT11-NS21,2
108,Orchard,TE14-NS22,2
110,Outram Park,TE17-EW16-NE3,3
113,Paya Lebar,CC9-EW8,2
119,Promenade,DT15-CC4,3
120,Punggol,PTC-NE17,3
123,Raffles Place,NS26-EW14,2
134,Sengkang,STC-NE16,3
136,Serangoon,NE12-CC13,2
146,Stevens,DT10-TE11,2
149,Tampines,DT32-EW2,2
153,Tanah Merah,CG-EW4,2
170,Woodlands,TE2-NS9,2
