,search_value,formatted_address,country,province,city,citycode,district,adcode,location,level,line_name_zh,name_zh,name,line_name
0,江苏省苏州市木渎(地铁站),江苏省苏州市吴中区木渎镇金湖(地铁站),中国,江苏省,苏州市,0512,吴中区,320506,"120.708667,31.297983",公交地铁站点,1号线,木渎,Mudu,
1,江苏省苏州市金枫路(地铁站),江苏省苏州市虎丘区金枫路(地铁站),中国,江苏省,苏州市,0512,虎丘区,320505,"120.529572,31.276492",公交地铁站点,1号线,金枫路,Jinfeng Lu,
2,江苏省苏州市汾湖路(地铁站),江苏省苏州市虎丘区汾湖路(地铁站),中国,江苏省,苏州市,0512,虎丘区,320505,"120.541830,31.278047",公交地铁站点,1号线,汾湖路,Fenhu Lu,
3,江苏省苏州市玉山路(地铁站),江苏省苏州市虎丘区玉山路(地铁站),中国,江苏省,苏州市,0512,虎丘区,320505,"120.549468,31.283409",公交地铁站点,1号线,玉山路,Yushan Lu,
4,江苏省苏州市狮子山(地铁站),江苏省苏州市虎丘区狮子山(地铁站),中国,江苏省,苏州市,0512,虎丘区,320505,"120.548762,31.293819",公交地铁站点,1号线,狮子山,Shizishan,
5,江苏省苏州市塔园路(地铁站),江苏省苏州市虎丘区塔园路(地铁站),中国,江苏省,苏州市,0512,虎丘区,320505,"120.556692,31.299963",公交地铁站点,1号线,塔园路,Tayuan Lu,
6,江苏省苏州市滨河路(地铁站),江苏省苏州市虎丘区滨河路(地铁站),中国,江苏省,苏州市,0512,虎丘区,320505,"120.566119,31.300779",公交地铁站点,1号线,滨河路,Binhe Lu,
7,江苏省苏州市西环路(地铁站),江苏省苏州市姑苏区西环路虎丘(地铁站),中国,江苏省,苏州市,0512,姑苏区,320508,"120.578751,31.329988",公交地铁站点,1号线,西环路,Xihuan Lu,
8,江苏省苏州市桐泾北路(地铁站),江苏省苏州市姑苏区桐泾北路(地铁站),中国,江苏省,苏州市,0512,姑苏区,320508,"120.591200,31.303005",公交地铁站点,1号线,桐泾北路,Tongjing Beilu,
9,江苏省苏州市广济南路(地铁站),江苏省苏州市姑苏区广济南路(地铁站),中国,江苏省,苏州市,0512,姑苏区,320508,"120.601066,31.304529",公交地铁站点,1号线,广济南路,Guangji Nanlu,
10,江苏省苏州市养育巷(地铁站),江苏省苏州市姑苏区养育巷(地铁站),中国,江苏省,苏州市,0512,姑苏区,320508,"120.614052,31.305140",公交地铁站点,1号线,养育巷,Yangyu Xiang,
11,江苏省苏州市乐桥(地铁站),江苏省苏州市姑苏区乐桥(地铁站),中国,江苏省,苏州市,0512,姑苏区,320508,"120.622324,31.306404",公交地铁站点,1号线,乐桥,Leqiao,
12,江苏省苏州市临顿路(地铁站),江苏省苏州市姑苏区临顿路(地铁站),中国,江苏省,苏州市,0512,姑苏区,320508,"120.630633,31.307982",公交地铁站点,1号线,临顿路,Lindun Lu,
13,江苏省苏州市相门(地铁站),江苏省苏州市姑苏区相门(地铁站),中国,江苏省,苏州市,0512,姑苏区,320508,"120.638847,31.309803",公交地铁站点,1号线,相门,Xiangmen,
