Line Name	Type	Sequence	Station Code	Station Name	Transfer	Build Start	Opening Date	Closed Date	Latitude	Longitude	Others
Bukit Panjang LRT Line	LRT	1	BP1/NS4	Choa Chu Kang	Standard		Before 2020				
Bukit Panjang LRT Line	LRT	2	BP2	South View			Before 2020				
Bukit Panjang LRT Line	LRT	3	BP3	Keat Hong			Before 2020				
Bukit Panjang LRT Line	LRT	4	BP4	Teck Whye			Before 2020				
Bukit Panjang LRT Line	LRT	5	BP5	Phoenix			Before 2020				
Bukit Panjang LRT Line	LRT	6	BP6-DT1	Bukit Panjang	Tap Out		Before 2020				
Bukit Panjang LRT Line Cycle	LRT	1	BP6-DT1	Bukit Panjang	Tap Out		Before 2020				
Bukit Panjang LRT Line Cycle	LRT	2	BP7	Petir			Before 2020				
Bukit Panjang LRT Line Cycle	LRT	3	BP8	Pending			Before 2020				
Bukit Panjang LRT Line Cycle	LRT	4	BP9	Bangkit			Before 2020				
Bukit Panjang LRT Line Cycle	LRT	5	BP10	Fajar			Before 2020				
Bukit Panjang LRT Line Cycle	LRT	6	BP11	Segar			Before 2020				
Bukit Panjang LRT Line Cycle	LRT	7	BP12	Jelapang			Before 2020				
Bukit Panjang LRT Line Cycle	LRT	8	BP13	Senja			Before 2020				
Bukit Panjang LRT Line Cycle	LRT	9	BP6-DT1	Bukit Panjang	Tap Out		Before 2020				
Punggol LRT Line East	LRT	1	NE17/PTC	Punggol	Standard		Before 2020				
Punggol LRT Line East	LRT	2	PW1	Sam Kee			Before 2020				
Punggol LRT Line East	LRT	3	PW2	Teck Lee			None				
Punggol LRT Line East	LRT	4	PW3	Punggol Point			Before 2020				
Punggol LRT Line East	LRT	5	PW4	Samudera			Before 2020				
Punggol LRT Line East	LRT	6	PW5	Nibong			Before 2020				
Punggol LRT Line East	LRT	7	PW6	Sumang			Before 2020				
Punggol LRT Line East	LRT	8	PW7	Soo Teck			Before 2020				
Punggol LRT Line East	LRT	9	NE17/PTC	Punggol	Standard		Before 2020				
Punggol LRT Line West	LRT	1	NE17/PTC	Punggol	Standard		Before 2020				
Punggol LRT Line West	LRT	2	PE1	Cove			Before 2020				
Punggol LRT Line West	LRT	3	PE2	Meridian			Before 2020				
Punggol LRT Line West	LRT	4	PE3	Coral Edge			Before 2020				
Punggol LRT Line West	LRT	5	PE4	Riviera			Before 2020				
Punggol LRT Line West	LRT	6	PE5	Kadaloor			Before 2020				
Punggol LRT Line West	LRT	7	PE6	Oasis			Before 2020				
Punggol LRT Line West	LRT	8	PE7	Damai			Before 2020				
Punggol LRT Line West	LRT	9	NE17/PTC	Punggol	Standard		Before 2020				
Sengkang LRT Line East	LRT	1	NE16/STC	Sengkang	Standard		Before 2020				
Sengkang LRT Line East	LRT	2	SE1	Compassvale			Before 2020				
Sengkang LRT Line East	LRT	3	SE2	Rumbia			Before 2020				
Sengkang LRT Line East	LRT	4	SE3	Bakau			Before 2020				
Sengkang LRT Line East	LRT	5	SE4	Kangkar			Before 2020				
Sengkang LRT Line East	LRT	6	SE5	Ranggung			Before 2020				
Sengkang LRT Line East	LRT	7	NE16/STC	Sengkang	Standard		Before 2020				
Sengkang LRT Line West	LRT	1	NE16/STC	Sengkang	Standard		Before 2020				
Sengkang LRT Line West	LRT	2	SW1	Cheng Lim			Before 2020				
Sengkang LRT Line West	LRT	3	SW2	Farmway			Before 2020				
Sengkang LRT Line West	LRT	4	SW3	Kupang			Before 2020				
Sengkang LRT Line West	LRT	5	SW4	Thanggam			Before 2020				
Sengkang LRT Line West	LRT	6	SW5	Fernvale			Before 2020				
Sengkang LRT Line West	LRT	7	SW6	Layar			Before 2020				
Sengkang LRT Line West	LRT	8	SW7	Tongkang			Before 2020				
Sengkang LRT Line West	LRT	9	SW8	Renjong			Before 2020				
Sengkang LRT Line West	LRT	10	NE16/STC	Sengkang	Standard		Before 2020				
Circle Line	MRT	1	CC1/NE6/NS24	Dhoby Ghaut	Standard		Before 2020				
Circle Line	MRT	2	CC2	Bras Basah			Before 2020				
Circle Line	MRT	3	CC3	Esplanade			Before 2020				
Circle Line	MRT	4	CC4/DT15	Promenade	Standard		Before 2020				
Circle Line	MRT	5	CC5	Nicoll Highway			Before 2020				
Circle Line	MRT	6	CC6	Stadium			Before 2020				
Circle Line	MRT	7	CC7	Mountbatten			Before 2020				
Circle Line	MRT	8	CC8	Dakota			Before 2020				
Circle Line	MRT	9	CC9/EW8	Paya Lebar	Standard		Before 2020				
Circle Line	MRT	10	CC10/DT26	MacPherson	Standard		Before 2020				
Circle Line	MRT	11	CC11	Tai Seng			Before 2020				
Circle Line	MRT	12	CC12	Bartley			Before 2020				
Circle Line	MRT	13	CC13/NE12	Serangoon	Standard		Before 2020				
Circle Line	MRT	14	CC14	Lorong Chuan			Before 2020				
Circle Line	MRT	15	CC15/NS17	Bishan	Standard		Before 2020				
Circle Line	MRT	16	CC16	Marymount			Before 2020				
Circle Line	MRT	17	CC17/TE9	Caldecott	Standard		Before 2020				
Circle Line	MRT	18	CC18	Bukit Brown			None				
Circle Line	MRT	19	CC19/DT9	Botanic Gardens	Standard		Before 2020				
Circle Line	MRT	20	CC20	Farrer Road			Before 2020				
Circle Line	MRT	21	CC21	Holland Village			Before 2020				
