stn_code,mrt_station_english,mrt_line_english,line_name,openning_date,closed_date,closed
# ,,,,,,
NS1,Jurong East,North South Line,North South Line,,,
NS2,Bukit Batok,North South Line,North South Line,,,
NS3,Bukit Gombak,North South Line,North South Line,,,
NS4,Choa Chu Kang,North South Line,North South Line,,,
NS5,Yew Tee,North South Line,North South Line,,,
NS7,Kranji,North South Line,North South Line,,,
NS8,Marsiling,North South Line,North South Line,,,
NS9,Woodlands,North South Line,North South Line,,,
NS10,Admiralty,North South Line,North South Line,,,
NS11,Sembawang,North South Line,North South Line,,,
NS12,Canberra,North South Line,North South Line,,,
NS13,Yishun,North South Line,North South Line,,,
NS14,Khatib,North South Line,North South Line,,,
NS15,Yio Chu Kang,North South Line,North South Line,,,
NS16,Ang Mo Kio,North South Line,North South Line,,,
NS17,Bishan,North South Line,North South Line,,,
NS18,Braddell,North South Line,North South Line,,,
NS19,Toa Payoh,North South Line,North South Line,,,
NS20,Novena,North South Line,North South Line,,,
NS21,Newton,North South Line,North South Line,,,
NS22,Orchard,North South Line,North South Line,,,
NS23,Somerset,North South Line,North South Line,,,
NS24,Dhoby Ghaut,North South Line,North South Line,,,
NS25,City Hall,North South Line,North South Line,,,
NS26,Raffles Place,North South Line,North South Line,,,
NS27,Marina Bay,North South Line,North South Line,,,
NS28,Marina South Pier,North South Line,North South Line,,,
# ,,,,,,
EW1,Pasir Ris,East West Line,East West Line,,,
EW2,Tampines,East West Line,East West Line,,,
EW3,Simei,East West Line,East West Line,,,
EW4,Tanah Merah,East West Line,East West Line,,,
EW5,Bedok,East West Line,East West Line,,,
EW6,Kembangan,East West Line,East West Line,,,
EW7,Eunos,East West Line,East West Line,,,
EW8,Paya Lebar,East West Line,East West Line,,,
EW9,Aljunied,East West Line,East West Line,,,
EW10,Kallang,East West Line,East West Line,,,
EW11,Lavender,East West Line,East West Line,,,
EW12,Bugis,East West Line,East West Line,,,
EW13,City Hall,East West Line,East West Line,,,
EW14,Raffles Place,East West Line,East West Line,,,
EW15,Tanjong Pagar,East West Line,East West Line,,,
EW16,Outram Park,East West Line,East West Line,,,
EW17,Tiong Bahru,East West Line,East West Line,,,
EW18,Redhill,East West Line,East West Line,,,
EW19,Queenstown,East West Line,East West Line,,,
EW20,Commonwealth,East West Line,East West Line,,,
EW21,Buona Vista,East West Line,East West Line,,,
EW22,Dover,East West Line,East West Line,,,
EW23,Clementi,East West Line,East West Line,,,
EW24,Jurong East,East West Line,East West Line,,,
EW25,Chinese Garden,East West Line,East West Line,,,
EW26,Lakeside,East West Line,East West Line,,,
EW27,Boon Lay,East West Line,East West Line,,,
EW28,Pioneer,East West Line,East West Line,,,
EW29,Joo Koon,East West Line,East West Line,,,
EW30,Gul Circle,East West Line,East West Line,,,
EW31,Tuas Crescent,East West Line,East West Line,,,
EW32,Tuas West Road,East West Line,East West Line,,,
EW33,Tuas Link,East West Line,East West Line,,,
# ,,,,,,
CG,Tanah Merah,,Changi Extension,,,
CG1,Expo,Changi Airport Branch Line,Changi Extension,,,
CG2,Changi Airport,Changi Airport Branch Line,Changi Extension,,,
# ,,,,,,
NE1,HarbourFront,North East Line,North East Line,,,
NE3,Outram Park,North East Line,North East Line,,,
NE4,Chinatown,North East Line,North East Line,,,
NE5,Clarke Quay,North East Line,North East Line,,,
NE6,Dhoby Ghaut,North East Line,North East Line,,,
NE7,Little India,North East Line,North East Line,,,
NE8,Farrer Park,North East Line,North East Line,,,
NE9,Boon Keng,North East Line,North East Line,,,
NE10,Potong Pasir,North East Line,North East Line,,,
NE11,Woodleigh,North East Line,North East Line,,,
NE12,Serangoon,North East Line,North East Line,,,
NE13,Kovan,North East Line,North East Line,,,
NE14,Hougang,North East Line,North East Line,,,
NE15,Buangkok,North East Line,North East Line,,,
NE16,Sengkang,North East Line,North East Line,,,
NE17,Punggol,North East Line,North East Line,,,
# ,,,,,,
CC1,Dhoby Ghaut,Circle Line,Circle Line,,,
CC2,Bras Basah,Circle Line,Circle Line,,,
CC3,Esplanade,Circle Line,Circle Line,,,
CC4,Promenade,Circle Line,Circle Line,,,
CC5,Nicoll Highway,Circle Line,Circle Line,,,
CC6,Stadium,Circle Line,Circle Line,,,
CC7,Mountbatten,Circle Line,Circle Line,,,
CC8,Dakota,Circle Line,Circle Line,,,
CC9,Paya Lebar,Circle Line,Circle Line,,,
CC10,MacPherson,Circle Line,Circle Line,,,
CC11,Tai Seng,Circle Line,Circle Line,,,
CC12,Bartley,Circle Line,Circle Line,,,
CC13,Serangoon,Circle Line,Circle Line,,,
CC14,Lorong Chuan,Circle Line,Circle Line,,,
CC15,Bishan,Circle Line,Circle Line,,,
CC16,Marymount,Circle Line,Circle Line,,,
CC17,Caldecott,Circle Line,Circle Line,,,
CC18,Bukit Brown,,Circle Line,,,TRUE
CC19,Botanic Gardens,Circle Line,Circle Line,,,
CC20,Farrer Road,Circle Line,Circle Line,,,
CC21,Holland Village,Circle Line,Circle Line,,,
CC22,Buona Vista,Circle Line,Circle Line,,,
CC23,one-north,Circle Line,Circle Line,,,
CC24,Kent Ridge,Circle Line,Circle Line,,,
CC25,Haw Par Villa,Circle Line,Circle Line,,,
CC26,Pasir Panjang,Circle Line,Circle Line,,,
CC27,Labrador Park,Circle Line,Circle Line,,,
CC28,Telok Blangah,Circle Line,Circle Line,,,
CC29,HarbourFront,Circle Line,Circle Line,,,
# ,,,,,,
CC4,Promenade,,Circle Line Extension,,,
CE1,Bayfront,Circle Line Extension,Circle Line Extension,,,
CE2,Marina Bay,Circle Line Extension,Circle Line Extension,,,
# ,,,,,,
DT1,Bukit Panjang,Downtown Line,Downtown Line,,,
DT2,Cashew,Downtown Line,Downtown Line,,,
